Height,Error (Validator),Error (Actor)
901,3.0232062759617155e-20,5.5733766737799834e-05
1901,1.1573120714651266e-15,0.08831796159120783
2901,1.0294077298718978e-23,7.411599183199274e-07
3901,2.784004122010111e-17,0.007629288972473232
4901,1.3430372442072717e-20,5.2969739708924024e-05
5901,6.261764743245223e-18,0.009163377174699174
6901,2.0454234088299158e-20,8.314970288217222e-05
7901,7.306707750876944e-23,9.159216527663367e-08
8901,1.2224270332436232e-21,1.398181714462912e-05
9901,8.51308526040466e-20,0.0002898255930074441
10901,4.4720276263341934e-24,1.1502942511032871e-05
11901,3.774107971177601e-19,0.0010056193663021688
12901,1.7339013617734219e-18,0.005053112041111567
13901,6.2628293750845014e-21,0.003499764572458274
14901,8.218938453649384e-18,0.0073464718860968715
15901,4.867756107694845e-23,0.004150267822933573
16901,6.004371029991069e-19,0.0005567105526827272
17901,1.0006664059600526e-14,0.08072838807473245
18901,4.158649842361406e-18,0.003539510954229288
19901,9.681908595067703e-19,0.006510650333824429
20901,8.566041431373722e-17,0.012634540602313327
21901,2.6925297928472207e-24,3.6822025140174645e-05
22901,7.707148499163141e-13,0.22696291625139173
23901,2.9753922333402823e-24,2.9862628407220066e-05
24901,4.859810388330961e-15,0.06928208280920597
25901,7.057683945239939e-15,0.07490821415408944
26901,1.8345692049757922e-20,0.0002625132037553999
27901,2.4437687594602997e-23,2.0110156950568618e-07
28901,7.554774443971815e-23,5.4050876243450614e-05
29901,3.7062917832192074e-19,0.00040457704977550434
30901,1.283973693576627e-16,0.01745924261668819
31901,9.783530468741166e-16,0.035430734048239286
32901,4.551507021163258e-19,0.0006243360347014579
33901,3.7183661243888884e-19,0.0005831777498287135
34901,2.2887714866002874e-16,0.018898802392241145
35901,9.04977360171122e-22,0.0001469986749109576
36901,3.1578182594611796e-15,0.07191943008114521
37901,2.683010552047728e-17,0.01799293832206853
38901,3.752574644015057e-19,0.0021260044478757425
