Height,Error (Validator),Error (Actor)
901,2.42435604094333e-24,2.1161448682552112e-17
1901,2.42435604094333e-24,3.473180542164731e-14
2901,2.3902106705801655e-24,1.9092046875847432e-11
3901,2.3902106705801666e-24,9.328769541646044e-13
4901,2.3902106705801655e-24,1.943037020042759e-18
5901,2.3902106705801655e-24,3.200461793972183e-21
6901,6.691219844850698e-24,1.364578807835523e-18
7901,2.236971178894657e-24,2.8017495966211778e-18
8901,2.390210670580165e-24,2.4842514605513594e-16
9901,6.132235842108579e-24,1.0645481828889613e-17
10901,5.167439032294114e-24,4.8644808804675466e-17
11901,2.390210670580165e-24,2.2235604281821362e-13
12901,6.132235842108578e-24,1.660025209295969e-16
13901,3.92114162967847e-24,2.738594540584062e-19
14901,6.132235842108579e-24,2.1787294828316878e-18
15901,2.42435604094333e-24,6.028225507398948e-11
16901,2.3902106705801655e-24,5.885818162530987e-13
17901,3.92114162967847e-24,6.763187777644595e-14
18901,2.390210670580165e-24,5.673504463277108e-15
19901,6.132235842108579e-24,1.4321044648821034e-16
20901,2.2369711788946575e-24,1.1330780763107915e-11
21901,3.921141629679549e-24,9.13105512194073e-10
22901,5.167439032294114e-24,2.3339869141874825e-11
23901,5.1674390322941136e-24,2.2497318418340845e-13
24901,2.236971178894657e-24,2.0910624899209818e-16
25901,3.9211416408413626e-24,5.915156996732154e-07
26901,2.3902106705801655e-24,1.878270249152457e-12
27901,2.3902106705801655e-24,3.884857203558422e-12
28901,2.390210670580165e-24,2.2488840989367906e-15
29901,2.3902106705801655e-24,4.169534999114078e-14
30901,2.42435604094333e-24,3.9652394890280567e-16
31901,3.92114162967847e-24,4.544255308427927e-17
32901,2.390210670580165e-24,1.0004584590752288e-12
33901,2.2369711788946568e-24,5.094483354454823e-19
34901,5.167439032294114e-24,1.893798268458194e-14
35901,6.691219845031547e-24,1.2100452361729583e-07
36901,2.236971178894657e-24,1.264151045237546e-13
37901,5.167439032294114e-24,6.431945249381373e-19
38901,6.691219844850698e-24,2.5218141075445094e-21
