Height,Error (Validator),Error (Actor)
901,4.490416700752848e-24,4.6843940674106085e-12
1901,3.025348974034271e-24,1.3090531708209844e-12
2901,3.025348974034271e-24,8.830475245022082e-14
3901,7.64973453108101e-24,5.696040208932084e-07
4901,2.744365831290311e-24,7.435910839121226e-23
5901,2.7833091639444752e-24,3.2387947480990116e-09
6901,7.649734531081e-24,5.09927765289659e-13
7901,7.649734531081e-24,3.4676532427845955e-07
8901,7.717301674768123e-24,5.3259149018233324e-17
9901,2.5695937776563138e-24,1.7035784592600475e-24
10901,2.7833091639444752e-24,5.415167791543727e-22
11901,2.7833091639444752e-24,3.361475951028495e-19
12901,4.490416700752848e-24,7.269645951660586e-09
13901,5.029864352152857e-24,2.221861020535834e-15
14901,5.9118385163568666e-24,2.311131517253202e-08
15901,4.490416700752848e-24,1.6558484009905174e-11
16901,2.7833091639444756e-24,4.0614761374760526e-14
17901,2.74436583129031e-24,6.3144643686068334e-15
18901,4.490416700752848e-24,1.9924327651429293e-11
19901,2.7833091639444752e-24,7.640349825761444e-13
20901,2.7833091639444752e-24,1.1599152890463048e-11
21901,2.744365831290311e-24,4.813092890602414e-14
22901,5.029864352152858e-24,2.672104669011344e-07
23901,5.9118385163568666e-24,4.388946876509513e-14
24901,4.490416700752848e-24,1.463912222034655e-18
25901,2.5695937776563138e-24,6.6691897850666554e-09
26901,4.490416700752848e-24,7.647028889695568e-18
27901,7.649734531081e-24,9.252530335813213e-14
28901,4.490416700752848e-24,2.886857139454077e-14
29901,4.490416700752848e-24,7.434706899280425e-14
30901,2.744365831290311e-24,3.356077703258201e-10
31901,5.9118385163568666e-24,1.964234616680737e-12
32901,2.7833091639444752e-24,1.7129872233347627e-13
33901,2.744365831290311e-24,8.215778788737676e-15
34901,7.012204472522112e-24,3.199194126201884e-13
35901,2.7833091639444752e-24,2.4994668298081744e-15
36901,7.649734531081e-24,1.8412214508813176e-13
37901,2.744365831290322e-24,1.3380738455844458e-07
38901,7.649734531081e-24,3.528921362958155e-10
