Height,Error (Validator),Error (Actor)
901,3.6385047156556764e-20,6.821889059622223e-07
1901,3.399490240754753e-22,1.5995320171050544e-07
2901,1.6319382720129534e-17,9.78233647668044e-07
3901,4.274231653528039e-20,1.793605990559651e-05
4901,2.2517172006298175e-20,3.5443467226270704e-07
5901,9.399499657713853e-15,0.001304795955677865
6901,2.3926315057962825e-18,3.0489954184974304e-07
7901,4.106438947078081e-17,2.017636683061625e-05
8901,1.8188845829142826e-19,3.568199129652974e-06
9901,6.711787257674187e-24,9.334968981694856e-09
10901,3.37731156918772e-22,1.6715832626982147e-09
11901,1.8301214970222712e-22,4.3954432940104055e-10
12901,1.0795591692845988e-19,1.3329870251851879e-08
13901,2.237786524308352e-15,0.0005181244034769943
14901,2.2517697535194983e-20,1.0778476266507963e-08
15901,6.782508288611836e-21,1.5706642175143068e-09
16901,6.514645026393152e-17,3.151625883350196e-05
17901,6.435958702545689e-17,3.354362882524472e-06
18901,6.27394735926416e-20,6.983436910767703e-10
19901,2.758022880989614e-17,9.213659475099573e-06
20901,2.3926561095869556e-18,5.319837571707077e-07
21901,1.059243361916314e-16,3.021229302295599e-05
22901,3.927166718889658e-20,4.981637512102897e-10
23901,1.218967247837626e-21,4.3510397525601344e-10
24901,4.0920513366169503e-17,5.158756261367617e-06
25901,2.0100110075488833e-15,0.00024376327671662547
26901,8.95001347655452e-19,0.000397436034023343
27901,3.708390245324277e-21,8.354067182884947e-10
28901,6.779952657600494e-21,3.3205631070146725e-10
29901,5.254002756660029e-19,1.191412101207619e-08
30901,1.4594467399466068e-18,2.5980805019569025e-07
31901,1.5722328385638383e-16,8.562818510084797e-06
32901,5.363931214773553e-19,1.5709609960431662e-07
33901,8.770725179028642e-19,1.8276358262609857e-06
34901,7.321095038443076e-15,0.000915911154376853
35901,4.80934234200111e-18,1.2307137920415115e-05
36901,1.4545488778043415e-18,2.8705273044333063e-06
37901,1.0235385297121349e-17,2.1943691761833933e-06
38901,2.918143101248573e-14,0.003433441650334838
