Height,Error (Validator),Error (Actor)
901,3.921141629678451e-24,2.943856962417977e-10
1901,3.921141629678451e-24,6.308398785921195e-11
2901,3.921141629680433e-24,3.5906048345332126e-09
3901,3.921141629678451e-24,2.456900824224583e-09
4901,2.4243560409433133e-24,1.568710607820014e-11
5901,2.3902106705801482e-24,3.359256193116648e-08
6901,2.4243560409433258e-24,3.2986020242193125e-08
7901,6.1069238308376615e-24,3.5053812527260508e-09
8901,5.1674390322940916e-24,5.859642183030035e-07
9901,6.69121984515224e-24,7.628413212199129e-08
10901,6.691219844850673e-24,6.527615927555033e-12
11901,5.1674390322940916e-24,2.4068153494004887e-11
12901,6.132235842108554e-24,4.824965233932722e-09
13901,2.4243560409433133e-24,1.2754146160005143e-09
14901,2.3902449404300144e-24,0.00022666419663238944
15901,2.4243560409433438e-24,6.7767470979085e-10
16901,2.236971178894641e-24,5.566877144951511e-13
17901,2.3902106705801482e-24,3.1652849597826134e-14
18901,2.4243560409433133e-24,1.0592290557466204e-09
19901,2.3902106705801486e-24,1.962083629508947e-09
20901,2.4243560409433133e-24,9.899662329480076e-11
21901,2.236971178894641e-24,1.749236422062201e-10
22901,2.3902106705801486e-24,8.50934902057731e-13
23901,3.921141629678451e-24,3.4101516648683555e-12
24901,4.394127339765681e-24,4.469970502958002e-09
25901,2.236971178894641e-24,2.841803661996497e-12
26901,5.1674390322940916e-24,2.5539096678255708e-09
27901,6.691219844850673e-24,1.7341256858627575e-12
28901,4.720984623028761e-24,4.4173545448185274e-05
29901,2.4243560409433133e-24,1.0146296683384924e-09
30901,6.750462467100424e-24,2.75899277394708e-10
31901,2.3902106705801486e-24,2.587109737568823e-13
32901,6.691219844850673e-24,1.6106400487158288e-08
33901,2.3902106705801486e-24,1.1844296393822753e-10
34901,5.1674390322940916e-24,2.7997355281351605e-10
35901,3.921141629679281e-24,4.893583754248185e-07
36901,6.691219844850673e-24,9.481873115114968e-12
37901,4.394127339765682e-24,5.166770522242883e-06
38901,2.3902106705801486e-24,7.356767214518903e-16
