Height,Error (Validator),Error (Actor)
901,2.7443658315497888e-24,0.0002638873924350327
1901,7.64982195329763e-24,0.011323077250159573
2901,2.7443658313046027e-24,5.625469367069337e-05
3901,7.649734537770934e-24,0.0006488100069473784
4901,2.7833091784833585e-24,0.0015218026907840695
5901,4.4904167012087655e-24,0.0003517924157030797
6901,7.012204472580175e-24,0.0006349811082383596
7901,7.649734531081929e-24,2.351630720893917e-05
8901,2.7443658312905695e-24,0.00010484623611472808
9901,3.025348974034251e-24,1.2914050909949654e-05
10901,5.029864352152833e-24,3.1047548991661236e-05
11901,3.648102460536917e-24,0.0005993007428867124
12901,7.012204472522082e-24,2.2061643599650832e-06
13901,5.0298650651065946e-24,0.007282832806622466
14901,3.1651166150547866e-24,0.00021852489234704892
15901,4.4904167007528236e-24,6.841385340104795e-09
16901,7.012204472522082e-24,6.427384121133882e-07
17901,5.911838516357639e-24,4.2130911529653534e-05
18901,4.4904167007528236e-24,1.51756505917275e-06
19901,2.783309163944831e-24,4.9435976127526224e-06
20901,7.64973515605431e-24,0.002588985913275665
21901,2.5695937776642744e-24,6.244041916994167e-05
22901,5.911838516358732e-24,2.1056134027998802e-05
23901,2.5695937776562936e-24,5.126953479826033e-10
24901,3.648102460536003e-24,3.6654965261288554e-05
25901,8.142838922583856e-24,0.0002830595984578867
26901,7.012230419402304e-24,0.006322421221032449
27901,5.029864352152833e-24,1.092648988384558e-09
28901,4.490416700753644e-24,1.7321875706972444e-05
29901,5.911838516476439e-24,0.00014618148800773137
30901,4.490416701656574e-24,0.00031519637367497866
31901,7.650032427148712e-24,0.021465228412630617
32901,5.91183851635684e-24,3.1834879792830276e-07
33901,5.911844083676826e-24,0.005457275632516852
34901,3.648102460536388e-24,8.858517154143503e-05
35901,2.7443658312938366e-24,4.589581021146546e-05
36901,2.783309163944455e-24,3.1624107734654634e-11
37901,7.64973453108097e-24,5.876818579705881e-08
38901,2.783309188914695e-24,0.0013655055987996868
