Height,Error (Validator),Error (Actor)
901,4.490416701169503e-24,0.00011819163686982692
1901,5.911838516783262e-24,0.00023718274269347224
2901,5.911838516356867e-24,5.643879056813816e-14
3901,2.744365831290311e-24,1.4520934860956902e-08
4901,4.490416703727441e-24,0.00027920864726021166
5901,5.911841435646933e-24,0.0028220387759718964
6901,5.029864352152859e-24,2.1343876874895417e-07
7901,4.490416700785517e-24,2.3944206430392196e-05
8901,7.658816746919347e-24,0.018928624161265353
9901,1.1028188160535015e-23,4.517084956959037e-07
10901,7.649734531081e-24,2.524049297400523e-06
11901,2.7443658312976056e-24,2.3119772640053642e-05
12901,7.649734551566386e-24,0.0008201694223908737
13901,7.64973453108105e-24,1.0313409278795606e-06
14901,4.490416700752848e-24,3.027184212751725e-09
15901,2.5695937776563138e-24,3.448290287330575e-13
16901,2.7833091639444763e-24,9.054115071532164e-08
17901,5.9118385163568666e-24,6.306793339739283e-09
18901,7.015368664880562e-24,0.016225289239655778
19901,2.7833091639728524e-24,0.00011168739037824885
20901,4.490416700752848e-24,1.0654805720524719e-14
21901,4.490416700756602e-24,9.297862752053346e-06
22901,7.434251796868012e-24,0.07611512189269226
23901,5.911838516356868e-24,8.06353027306174e-07
24901,4.4904167007537434e-24,3.6775141882540825e-06
25901,7.649734531081e-24,2.1050163596780738e-11
26901,2.783309163944794e-24,2.784753679203856e-06
27901,2.7443658342495893e-24,0.00019562194463633879
28901,7.64973453108145e-24,1.2386724243895678e-05
29901,6.983335725029162e-24,1.86097176279092e-06
30901,7.649734531081218e-24,4.241201085077924e-06
31901,4.490416700752848e-24,1.456299384249343e-07
32901,7.012204472522112e-24,3.197430736697101e-09
33901,3.0253489740342948e-24,3.5386117457290324e-06
34901,5.029864352152858e-24,1.1617531417035478e-08
35901,5.9118385163568666e-24,1.9147768920787758e-12
36901,6.983335725029162e-24,2.147349462285992e-08
37901,2.783309164746399e-24,0.00012963599444824745
38901,7.649734531081e-24,2.9119476021251137e-06
