Height,Error (Validator),Error (Actor)
901,3.0253489740342503e-24,1.4140486286935576e-08
1901,7.649734531080972e-24,1.3882340113447635e-06
2901,3.165116616568591e-24,0.0008736991708588684
3901,2.745307766939837e-24,0.014774164299090698
4901,3.1651166147952885e-24,7.043525920021135e-07
5901,4.4904167010194066e-24,0.00021444276463625909
6901,2.5695978829058184e-24,0.006073311632021401
7901,3.165116614795288e-24,0.00018700951364025327
8901,2.7443658313045954e-24,3.535739037971482e-05
9901,7.012204472522084e-24,1.8254828682717742e-06
10901,5.91183851635684e-24,1.0993850756689479e-07
11901,7.64973453108097e-24,4.517159086408094e-08
12901,2.7443658312902903e-24,1.5845595430831765e-07
13901,5.029864352152832e-24,1.4718716908754762e-06
14901,5.911838516356841e-24,4.341721556386802e-06
15901,5.029864352152833e-24,2.9821692386558686e-06
16901,6.983335725029134e-24,6.77842304170874e-10
17901,3.0253489740343315e-24,5.961171297426943e-05
18901,2.783309163944455e-24,3.147059329163329e-08
19901,7.64973453108097e-24,6.7104944498119e-08
20901,5.029864352173726e-24,0.00019259703133826206
21901,2.7443658312905195e-24,2.6392936967005743e-05
22901,7.012204472522082e-24,3.4216266531397986e-06
23901,5.029864352152833e-24,9.7793723403395e-12
24901,5.029864352152833e-24,4.032856032570939e-08
25901,5.029864352152832e-24,4.519878970787105e-07
26901,3.0253489740342503e-24,5.6008047768509624e-09
27901,8.142838922551177e-24,9.923483151718529e-07
28901,3.02534897403425e-24,6.14880364571751e-07
29901,2.5695937776562936e-24,3.0145801657925394e-08
30901,5.91183851635684e-24,1.0022765615949602e-07
31901,2.7833091639444572e-24,2.199863876035582e-06
32901,7.64973453108097e-24,1.2706633901062585e-05
33901,5.029864352152832e-24,8.257776604514263e-07
34901,7.012204472522084e-24,3.752935780820868e-07
35901,4.4904167007528236e-24,1.0547813103315651e-10
36901,5.029864352152832e-24,6.065485215263373e-05
37901,2.7443658312902925e-24,8.584970886546593e-07
38901,7.012204472522088e-24,2.6613966142204613e-06
