Height,Error (Validator),Error (Actor)
901,1.6487397370824552e-15,5.190833430454482e-07
1901,6.365841774041031e-14,2.3310292012398464e-06
2901,8.971628170890911e-10,0.047483405341780936
3901,1.617207914242054e-15,2.3978664238187536e-09
4901,8.451515520682126e-15,3.219337965600164e-08
5901,1.592345983353733e-09,0.06059982674263129
6901,1.297937241244674e-11,0.0004590582732756836
7901,8.901102576865906e-10,0.0389249920233405
8901,1.1284544973078699e-12,3.3265493818885916e-05
9901,3.269413797232022e-12,0.00027076296804174265
10901,2.7479918629221263e-16,1.025274986566017e-07
11901,9.370182468719523e-13,0.000359337438498426
12901,6.510770403187902e-10,0.02796729071353483
13901,6.6103309233773026e-12,0.00017095181307947186
14901,5.489878596421197e-13,6.536975231659392e-06
15901,1.3502948703018692e-10,0.02179160576297727
16901,1.89765324304113e-11,0.000762778183011235
17901,7.970112126446944e-13,0.00015167261878693144
18901,1.8342092737663006e-09,0.0720606718675642
19901,2.066428286402092e-11,0.0027028704111147733
20901,5.736956717189686e-13,4.912081360465395e-05
21901,1.271913081993301e-13,1.8890174630854526e-07
22901,1.8371614950701144e-10,0.015506942647538645
23901,8.784774213502161e-15,1.5968688931845816e-06
24901,1.1782409646951556e-12,9.96486889975393e-05
25901,5.736955376426102e-13,1.769189816185486e-05
26901,2.6729191986080053e-13,1.5889525353609356e-05
27901,6.913288340189165e-11,0.003908095605945007
28901,6.553903159324271e-12,0.00020362667141971406
29901,3.2693872528374538e-12,2.3448723010611392e-05
30901,1.1048027869113728e-16,2.189326043656084e-09
31901,3.566345711573929e-11,0.0013198044392570439
32901,2.558542849389293e-11,0.0013267880321005442
33901,2.295917143731635e-12,0.00015765436137506208
34901,6.5373277369871115e-12,0.000989718165751128
35901,5.552439349171558e-13,1.1651472608656975e-05
36901,4.220947325039941e-14,7.429049030946112e-06
37901,1.3081590727850151e-14,5.598976431541069e-06
38901,6.553853018558826e-12,9.916950767852656e-05
