Height,Error (Validator),Error (Actor)
901,7.878441818665086e-13,6.596601255174372e-06
1901,6.985610703750365e-11,0.0025895721260427488
2901,1.330558427028837e-10,0.004614392163874148
3901,4.804599960327811e-10,0.028812485229118952
4901,4.821474790770432e-12,0.0003667506775988264
5901,3.181009355775454e-12,0.0013123111703548936
6901,3.299963962688777e-12,0.00013381639956960476
7901,2.3015260128922895e-12,0.00026125543737980594
8901,5.6369400761264725e-15,6.537649776371087e-07
9901,3.1768952153569666e-14,2.6338685110119184e-07
10901,3.6043272932231575e-11,0.0019894200235417727
11901,3.715455776385613e-15,1.2610549011606674e-05
12901,5.5596010240716405e-15,3.121943887359392e-07
13901,6.323064235013883e-19,8.138677644947671e-11
14901,8.228882764619087e-15,3.276915411276672e-05
15901,8.363293269882537e-15,1.3667367986014674e-05
16901,3.1586860856469906e-17,5.114248740903205e-09
17901,1.611621234758274e-12,4.427417806469973e-06
18901,1.8538576786493862e-14,2.0118928394013816e-05
19901,4.0620281432986517e-14,4.851670530727275e-07
20901,6.985679667938338e-11,0.004816940999355169
21901,9.03916186686601e-14,9.665495640623742e-07
22901,9.324523432827472e-12,0.000648714388226974
23901,4.2034679437573093e-14,0.00013473399246288512
24901,6.913585384145549e-11,0.005115685457368078
25901,1.090191261692167e-11,0.0012533370628902646
26901,2.552300518565786e-11,0.001404651470737186
27901,1.2569798447836075e-13,6.967561453486071e-06
28901,2.8370898212075874e-10,0.018403832185766623
29901,2.0444314805551462e-14,4.8621626337105825e-05
30901,6.988450024114086e-22,8.691103286504135e-12
31901,1.3121704542922021e-11,0.0007373744907589714
32901,3.8118646015336084e-13,1.4645575417861513e-06
33901,8.629103527707897e-14,3.959273601145133e-07
34901,1.1278622105204472e-12,2.3107613121764325e-06
35901,5.577014155256145e-15,7.994405294130366e-08
36901,4.63717668207783e-12,0.0022778474161332706
37901,3.6043642448575414e-11,0.0033251985358518778
38901,7.240133335111128e-17,5.033573000714734e-09
