Height,Error (Validator),Error (Actor)
901,1.8412325868636145e-13,3.4431621851119103e-06
1901,1.316013027052824e-13,7.109308577769802e-07
2901,3.2626418973690275e-12,4.533729947368329e-05
3901,1.599805931026971e-15,1.997161860588875e-05
4901,1.2563990760465535e-13,4.578223182106405e-07
5901,5.2987466584210926e-11,0.004980474325788619
6901,1.2607875938705915e-14,2.54723351585347e-06
7901,4.9712816954647865e-11,0.0017789490753497231
8901,3.739550605852408e-15,1.5861901092925997e-05
9901,3.425382653539511e-18,5.149042971877491e-08
10901,1.0384030361212484e-15,3.5577964771364196e-08
11901,2.7319684205979424e-14,4.363799066272518e-08
12901,8.624226441805525e-14,2.1747702659475967e-07
13901,3.298093379393144e-12,0.0008209024815413631
14901,2.749936578943785e-16,2.722888996523863e-07
15901,8.77448270898726e-15,4.164207909460202e-07
16901,3.566344695419516e-11,0.0023217094393722056
17901,3.5680190000261815e-11,0.0019638907684037888
18901,8.344571265980805e-15,3.3776474175946435e-08
19901,1.12795693754512e-12,2.8391973786591066e-05
20901,3.2693872534293298e-12,2.9003172836166274e-05
21901,1.1284549406891073e-12,9.424008489099021e-05
22901,1.1284480252189758e-12,6.231664784735658e-06
23901,5.8559914094125594e-15,9.845807346239667e-08
24901,9.228831554016165e-12,0.0003641359771671571
25901,3.56822740695353e-11,0.002532205515487646
26901,3.689638360291989e-15,0.00014234420152973962
27901,4.755655670045859e-16,1.820895276820896e-08
28901,2.239363275657359e-14,1.0161331223755497e-07
29901,2.6407791795658206e-13,2.166517617319945e-06
30901,6.5274272844947726e-15,2.788284206358003e-06
31901,7.188455009302316e-11,0.003253227491791352
32901,1.2569787787774925e-13,3.129065363266986e-06
33901,1.8251730367712581e-13,2.0314762456979285e-06
34901,6.9960943451165616e-12,0.001629380175171734
35901,1.2309042170207192e-13,3.579295547495686e-05
36901,3.2783662392130544e-12,0.00017010553299384718
37901,1.8267525321792757e-11,0.00043445562115169696
38901,3.863786423131116e-11,0.006253586048826006
