Height,Error (Validator),Error (Actor)
901,5.91183851635684e-24,8.167997282412053e-11
1901,7.64973453108097e-24,2.02927963794641e-09
2901,5.029864352156328e-24,0.00012387875136086248
3901,3.025348974153852e-24,0.0002540742327954294
4901,4.275054384427558e-24,0.00031534086114187764
5901,7.012204473591405e-24,0.0022761979839064483
6901,2.7443658312902903e-24,8.29056848611683e-06
7901,5.91183851635684e-24,7.581830857629753e-09
8901,7.717301674768094e-24,3.1980517124897227e-12
9901,7.64973453108097e-24,1.2288162507543028e-09
10901,2.74436583129228e-24,3.85894549081774e-05
11901,2.5695937776562936e-24,8.23903732497801e-13
12901,5.91183851635684e-24,1.334437109920849e-09
13901,2.5695937776566668e-24,5.125495627689751e-06
14901,5.91183851635684e-24,3.789176566102347e-07
15901,4.4904167007528236e-24,4.0513208898801054e-08
16901,4.4904167007528236e-24,2.8359015243463783e-08
17901,7.64973453108097e-24,2.8946681008776637e-06
18901,2.7443658312902903e-24,1.2460376485259444e-08
19901,7.012204472522082e-24,4.633680115446381e-06
20901,2.783309163944718e-24,1.9883786266932878e-05
21901,5.40265013898038e-24,1.94766785137006e-05
22901,7.649734531080982e-24,1.1670215222741884e-05
23901,2.783309163944455e-24,4.116775332996663e-06
24901,7.64973453108097e-24,5.725306432431067e-11
25901,5.91183851635684e-24,7.529063801743345e-07
26901,2.783309163944455e-24,6.183213030486503e-09
27901,2.7443658312902903e-24,5.969270999975286e-07
28901,4.4904167007528236e-24,3.6326742321969777e-09
29901,2.783309163944455e-24,3.101866831301639e-07
30901,5.911838516367168e-24,5.011007412701038e-05
31901,4.490416702567187e-24,0.00039756586577725973
32901,5.029864352153631e-24,1.4860491294782053e-05
33901,2.7443658312902903e-24,2.8357478816580876e-08
34901,4.275054384427558e-24,6.557842224979583e-06
35901,3.025348974034332e-24,8.54805382750681e-06
36901,7.64973453108097e-24,4.831430637022574e-06
37901,2.783309163944455e-24,3.123884216409348e-11
38901,5.911838517365316e-24,0.0005856011150330129
