Height,Error (Validator),Error (Actor)
901,5.9118385163568666e-24,9.860386001597497e-09
1901,4.682069798848137e-24,4.189363809676031e-05
2901,2.7833091639444756e-24,5.370896443030108e-08
3901,4.490416700767223e-24,2.843404954733091e-05
4901,2.7833091639444756e-24,1.9837929501142205e-08
5901,7.649734531081e-24,1.5661964887509985e-08
6901,2.744365831290338e-24,3.0551649536582473e-07
7901,5.9118385163570826e-24,1.21096821495496e-06
8901,6.983335725029162e-24,2.9633493015258444e-11
9901,7.649734531500043e-24,0.00040557094259072776
10901,3.1651166147954145e-24,8.265818037216892e-06
11901,7.717301674768128e-24,9.538470379026363e-08
12901,5.02986435795934e-24,0.0003566225081746187
13901,3.025348974460615e-24,0.00019322055762828133
14901,2.7833091639444752e-24,1.871517729570812e-08
15901,4.490416700752848e-24,4.702863946082679e-10
16901,2.7833091643583958e-24,0.0002195456945023525
17901,6.983335725029162e-24,5.756409460610072e-09
18901,3.0253489972348993e-24,0.00048203702246472636
19901,5.402650138980426e-24,6.978835122065868e-05
20901,5.029864352152858e-24,6.32862557381703e-08
21901,2.7833091639444752e-24,1.5653152038953865e-14
22901,7.012204472522112e-24,2.943140887710345e-07
23901,5.0298650661976106e-24,0.004515057500998512
24901,4.490416700752848e-24,9.451983171751564e-09
25901,6.983335725029213e-24,8.07156259263462e-06
26901,3.025348974460615e-24,0.00016361800554730193
27901,3.0253489743182696e-24,0.0003203776241018679
28901,7.012204472522112e-24,2.292774063298035e-10
29901,7.012204472522112e-24,1.397601669128633e-12
30901,2.744365969728197e-24,0.0013723957344979442
31901,5.02986435221554e-24,0.00019207947401631063
32901,3.648102460690794e-24,0.0002578192369850195
33901,2.744365831290311e-24,6.663596507241873e-19
34901,7.012204472523127e-24,1.1627835426498499e-05
35901,7.012204472551373e-24,4.0452304226414356e-05
36901,5.029864352183602e-24,0.00010912785920487766
37901,2.744365831290316e-24,2.6429452964627715e-07
38901,5.9118385163568666e-24,4.65923642093017e-06
