Height,Error (Validator),Error (Actor)
901,2.5695937776562936e-24,1.8874434681901433e-08
1901,3.0253489740342503e-24,1.616848052536053e-07
2901,5.91183851635684e-24,1.5327356518883273e-10
3901,7.64973453108097e-24,1.63917290678588e-06
4901,7.012204472522084e-24,3.1771540693704995e-09
5901,1.102818816053498e-23,0.00011415741770414559
6901,4.4904167007528236e-24,6.521556027978419e-10
7901,5.91183851635684e-24,1.851080942123192e-07
8901,7.012204472522084e-24,1.5538078978463188e-07
9901,2.783309163944455e-24,2.373200433453556e-08
10901,6.983335725029134e-24,2.129007701003016e-06
11901,7.012204472522084e-24,3.295633182873842e-06
12901,7.64973453108097e-24,1.5041799012759306e-08
13901,2.7443658312902903e-24,2.8367687195794833e-12
14901,2.7443658312902903e-24,3.846570507436889e-12
15901,7.64973453108097e-24,5.75687093926966e-08
16901,7.649734531110794e-24,6.107980052544817e-05
17901,5.029864352152833e-24,1.6247837663777393e-07
18901,2.7443658312902903e-24,1.3531205715835188e-10
19901,7.64973453108097e-24,2.2090102600036214e-10
20901,2.7443658312902903e-24,3.995329305629522e-08
21901,5.029864352152832e-24,2.644080985364242e-06
22901,1.102818816053498e-23,3.4237825080991374e-06
23901,7.64973453108097e-24,1.0518801457434333e-07
24901,2.5695937776562936e-24,9.161343623685455e-13
25901,4.4904167007528236e-24,2.3481980439579887e-13
26901,4.4904167007528236e-24,2.6722268407335546e-06
27901,2.783309163944455e-24,1.0143426342095701e-07
28901,7.64973453108097e-24,2.736008287195672e-07
29901,2.5695937776562936e-24,3.085219904578396e-13
30901,6.983335725029134e-24,1.9212532509318508e-07
31901,4.4904167007528236e-24,1.0885123377705116e-09
32901,7.012204472522457e-24,5.270888908686874e-06
33901,6.983335725029134e-24,4.744952603315821e-07
34901,3.0253489740342503e-24,4.538633065827686e-07
35901,7.64973453108097e-24,1.1648108154611527e-07
36901,7.012204472522084e-24,9.849200776431806e-13
37901,7.64973453108097e-24,6.13375708083866e-07
38901,2.783309163944455e-24,5.59837523343724e-10
