Height,Error (Validator),Error (Actor)
901,5.167439032637136e-24,2.0676931477599154e-07
1901,3.921141629678451e-24,1.0976973780860195e-10
2901,6.132235842108554e-24,1.1121833476045755e-11
3901,7.123571955646526e-24,3.037969641202063e-08
4901,3.921141629678451e-24,2.8650413791222414e-11
5901,3.921141629678451e-24,1.7443484738252578e-11
6901,6.691219844850673e-24,6.13714205103559e-12
7901,6.691219844850673e-24,7.124628222331185e-09
8901,2.4243560409433133e-24,6.391695503903244e-09
9901,2.390210670581078e-24,8.334855441277236e-09
10901,6.691219844850673e-24,7.60905200887816e-13
11901,2.4243560409433133e-24,1.4729436413408812e-12
12901,4.394127339872883e-24,4.670122968603399e-07
13901,6.1069238308376615e-24,1.2621846356658018e-06
14901,2.424356040943313e-24,9.077672826422995e-07
15901,2.236971178894641e-24,1.2583783253940774e-14
16901,6.691219844854475e-24,3.4359195582222624e-08
17901,2.3902106705801486e-24,5.000965210977174e-12
18901,5.1674390322940916e-24,1.087973445585771e-10
19901,6.691219844850673e-24,9.756166216564226e-11
20901,2.424356040943313e-24,3.306497755876837e-09
21901,3.921141629678451e-24,1.7871578675965175e-10
22901,2.2369711788946414e-24,9.882271563771968e-10
23901,2.6365756532589682e-24,6.481396983829707e-09
24901,2.3902106705801486e-24,4.851366233950097e-12
25901,2.3902106705801486e-24,5.1741741250248577e-11
26901,2.4243560409433133e-24,1.402214448180094e-07
27901,3.921141629678451e-24,1.3959711636734207e-10
28901,2.3902106705801486e-24,4.472661131001565e-14
29901,2.3902106705801486e-24,1.0741613887327159e-10
30901,6.1069238308376615e-24,1.251040776964063e-07
31901,2.3902106705801486e-24,6.29361899569176e-13
32901,2.4243560409433133e-24,9.273383150952353e-08
33901,2.236971178894641e-24,4.7967004236318116e-12
34901,2.3902106705801486e-24,2.1339588423183273e-09
35901,6.691219844850673e-24,1.3994252527966272e-08
36901,3.921141629678451e-24,1.2814379936584292e-07
37901,3.921141629678451e-24,8.31698760075002e-14
38901,5.1674390322940916e-24,1.3211928126372746e-08
