Height,Error (Validator),Error (Actor)
901,9.482394547465015e-20,0.00014646099255060697
1901,2.758186716156891e-20,6.922582863460267e-05
2901,1.939164143761884e-17,0.005693259792893278
3901,3.8000894790774644e-21,3.8044010627703745e-06
4901,9.73352577919666e-24,9.937333571721671e-09
5901,5.938396986865443e-20,0.00024579193944573814
6901,1.800051206667428e-24,1.1403852992469975e-08
7901,4.4807154067108155e-24,3.4294220777850883e-10
8901,5.08429418694535e-24,1.7061632380811397e-09
9901,8.913299862276466e-21,1.7755704543324908e-05
10901,5.057633271172836e-21,3.90009230128879e-05
11901,5.428239586060253e-21,1.0818701717672012e-05
12901,2.1612759479521088e-23,6.8669657387828885e-06
13901,8.766507179276778e-24,4.3472300338089915e-06
14901,2.916041956500278e-24,1.5608870209707152e-08
15901,2.303591755275576e-24,8.266737024074933e-10
16901,3.855240943905713e-22,5.555947062725741e-07
17901,1.3203264954630776e-22,2.4321930228255234e-07
18901,2.229248668282046e-22,9.181736114543563e-08
19901,1.9391537864451276e-17,0.0042987264097520935
20901,4.471559249343224e-24,1.4565549433601363e-10
21901,3.1084416335974446e-24,5.5289564811490175e-08
22901,9.586526629100044e-24,2.481424252590639e-07
23901,1.4815159605890953e-18,0.0005620337702127654
24901,1.350731503470335e-22,3.3999163358207574e-05
25901,6.438858509283143e-22,1.746399559895817e-06
26901,2.2499655965802233e-20,3.310840747339541e-05
27901,2.881892768472466e-24,1.422180113983121e-10
28901,1.2617752317806815e-17,0.003474149394880503
29901,1.856444096042303e-21,4.636392468546947e-06
30901,2.4022981536254657e-19,0.0001173126302973365
31901,1.8818296441317274e-24,1.6485488449540664e-10
32901,2.2197806404005475e-22,8.581981520950068e-07
33901,6.457351574492206e-24,2.285048908952922e-05
34901,2.925939500381026e-24,1.4700443284074764e-09
35901,4.4742437830833065e-24,1.2001948779772203e-10
36901,6.026287747208847e-24,2.201610266680827e-09
37901,2.8818556160695628e-24,1.568242871548244e-10
38901,1.8142116143305902e-24,1.8686517295312109e-10
