Height,Error (Validator),Error (Actor)
901,2.3902106706861517e-24,4.563767770951959e-08
1901,6.132235842108554e-24,2.7061806837119657e-13
2901,6.691220004765936e-24,1.5582585589571463e-05
3901,5.167439032294107e-24,1.5622311254192381e-09
4901,6.1069238308376615e-24,1.622587380779225e-07
5901,2.3902106706511363e-24,1.0879525405873384e-08
6901,3.92114162967845e-24,6.1674500797821345e-09
7901,6.691219844850673e-24,5.218913655883078e-10
8901,5.1674390322940916e-24,4.678881244596561e-07
9901,6.1069238308717765e-24,1.0111227563720295e-07
10901,3.921141630021512e-24,8.929329649508756e-07
11901,5.167439032311019e-24,1.8348230012176192e-08
12901,6.691219844850681e-24,4.2561866939766976e-09
13901,2.3902106707318013e-24,8.483356163770802e-08
14901,2.3902106705801486e-24,1.1611593829423299e-11
15901,6.691219844850673e-24,2.662161121735736e-07
16901,7.123571955646607e-24,2.0639898213139192e-05
17901,6.691219844850677e-24,1.467325876727354e-07
18901,6.691219844850684e-24,1.3228794850762218e-07
19901,6.691222148201421e-24,4.265947312245094e-05
20901,4.394127339765681e-24,3.3657521471047435e-08
21901,6.691219844850674e-24,4.729996133486441e-10
22901,6.106923830837674e-24,4.631312674530356e-07
23901,5.167439196984034e-24,7.06368811685704e-06
24901,2.50961768474741e-24,1.7986406189375355e-05
25901,2.4243560409433133e-24,1.522115882753051e-09
26901,2.4243560410898192e-24,1.7552962744239235e-08
27901,5.1674390322940916e-24,6.799183924788637e-10
28901,3.9212216543382104e-24,0.0004185688813191268
29901,2.2369711789110057e-24,1.1580064758251249e-08
30901,2.2369712376290916e-24,1.1398162685030776e-05
31901,5.1674390322940916e-24,1.1083892468028956e-10
32901,6.691219844851594e-24,1.1585407090540589e-08
33901,3.9211416297844555e-24,4.0024202895630087e-07
34901,2.4243560409433133e-24,1.4647864765530702e-09
35901,2.236971178894641e-24,3.016383095687542e-13
36901,5.1674390322940916e-24,1.5881620451184177e-06
37901,5.1674390322940916e-24,1.3513141202842304e-07
38901,6.132235842108554e-24,2.9042312198708466e-09
