Height,Error (Validator),Error (Actor)
901,5.584396556904868e-16,6.168580994331056e-05
1901,2.854563172826673e-15,0.0005876669262524962
2901,2.3513694979961312e-11,0.1313595889014345
3901,2.095634460351618e-14,0.0021256708935394053
4901,5.646759773324441e-16,0.0010311901982438555
5901,2.655694546833704e-13,0.013072943999853174
6901,1.0996406002951646e-12,0.038793277607110314
7901,1.855654859378925e-13,0.01601932479980856
8901,8.558807006819681e-11,0.18074226854160994
9901,4.109064662281867e-10,0.31195491427099536
10901,1.987219423966621e-11,0.15716266506003548
11901,7.863094903013611e-10,0.4260588583456127
12901,5.436546016192356e-13,0.031142509474460518
13901,5.64663722301616e-16,4.219066115930965e-05
14901,8.436120672505076e-16,8.577168794852291e-05
15901,1.6893732631581855e-11,0.12765905918978693
16901,1.2862232777203888e-12,0.09021273190765834
17901,5.9699909121510895e-12,0.088724778208451
18901,4.481616834804352e-11,0.1674614445843627
19901,1.0854156696567317e-10,0.22008554759798998
20901,5.2027795954875056e-15,0.00317603269780261
21901,1.1527087303591997e-12,0.051157319633982734
22901,3.1338577378316413e-12,0.07028817749410016
23901,1.2021560185615014e-11,0.09392024110859136
24901,2.252617693147932e-10,0.2632233502485055
25901,4.2998631763221115e-14,0.021663897516921993
26901,3.080916850604416e-10,0.4017829132781643
27901,4.249439254830154e-14,0.010276007950572331
28901,1.845607839517181e-16,0.00016955035824211653
29901,2.500670631436689e-12,0.06831735204618379
30901,3.304747284871445e-11,0.16482677402033605
31901,1.620568048773402e-15,0.0016370259969438453
32901,2.8389132874756185e-16,0.00018707619639350405
33901,1.2510335120963516e-12,0.07006389123432319
34901,2.522338330661793e-16,0.00020138115631142587
35901,1.3450167359918833e-13,0.01295787914259217
36901,1.7428076213932845e-11,0.1593602790962296
37901,4.4484639005963607e-14,0.00558754768618887
38901,8.915313709973449e-14,0.00812144193456342
