Height,Error (Validator),Error (Actor)
901,7.717301674768094e-24,6.401773954727595e-11
1901,7.64973453108097e-24,5.263110229140013e-07
2901,2.783309163944455e-24,2.135912835911458e-11
3901,5.91183851635684e-24,1.3384666902520718e-10
4901,2.783309163944455e-24,5.745693913769422e-10
5901,7.717301674768094e-24,6.07531559328479e-09
6901,2.783309163944455e-24,1.334081501841765e-07
7901,2.7443658312902903e-24,6.879797757745027e-10
8901,5.91183851635684e-24,1.2431637655501278e-12
9901,7.64973453108097e-24,3.9105017161070306e-07
10901,2.783309163944455e-24,1.3516467354170608e-08
11901,4.4904167007528236e-24,3.885012591576417e-11
12901,2.783309163944455e-24,1.226999398373279e-09
13901,4.4904167007528236e-24,2.1334764535274526e-09
14901,7.64973453108097e-24,1.0077512368383282e-09
15901,2.7443658312902903e-24,8.324126048636054e-12
16901,2.783309163944455e-24,1.5049486504371556e-08
17901,5.0298643521562845e-24,0.00010466868299042895
18901,2.569593777656294e-24,3.2083078220130615e-10
19901,5.91183851635684e-24,3.036234274179102e-09
20901,7.64973453108097e-24,3.678823964084336e-07
21901,2.7443658312902903e-24,2.9409672613009858e-09
22901,7.64973453108097e-24,4.899372038196768e-08
23901,4.4904167007528236e-24,2.1495392686208676e-13
24901,2.7443658312902903e-24,1.3877055206454173e-10
25901,2.783309163944455e-24,2.690757467303105e-08
26901,7.012204472522886e-24,3.8344950395095404e-05
27901,2.783309163944455e-24,5.424296609183993e-07
28901,7.717301675671835e-24,0.00038067650762653937
29901,2.7443658312902903e-24,1.918256059513517e-07
30901,7.717301674768094e-24,2.573098978030503e-07
31901,7.64973453108097e-24,4.342747739789168e-09
32901,4.490416700752834e-24,3.587643665290559e-05
33901,4.490416700752832e-24,4.154408325752709e-06
34901,5.9118385163568394e-24,1.1479311454070278e-06
35901,6.983335725029134e-24,3.440789888107613e-08
36901,7.64973453108097e-24,3.644662464964315e-08
37901,7.012204472522084e-24,4.8074412470201173e-11
38901,2.7443658312902903e-24,2.9520468707207494e-08
