Height,Error (Validator),Error (Actor)
901,7.688919861971495e-11,1.1387549126207232e-07
1901,2.152541631951134e-09,0.00010365175670387916
2901,5.443928015592545e-10,1.0362432054035854e-06
3901,2.3215990625787427e-10,2.48716848547588e-06
4901,1.9234804894547668e-09,9.361450726573329e-06
5901,2.1064745364600833e-07,0.031021010179640082
6901,5.0034548295963755e-09,0.00014227058508449523
7901,5.593200707969982e-06,0.28587367158479293
8901,3.675059358624486e-07,0.06071233363618811
9901,8.991294103826276e-08,0.013424288861047844
10901,3.2968694561572354e-09,0.00047046401311156785
11901,2.3784711457076635e-08,0.007006961197040012
12901,1.1982868420508557e-08,0.000376841618013896
13901,2.8874121940408678e-08,0.0067136672859138755
14901,6.580177947224822e-09,0.0015416907626110846
15901,8.361161442814104e-07,0.07415989188453649
16901,1.9243140268723535e-09,2.682974518465424e-05
17901,5.445985079049836e-10,1.9512055523583316e-06
18901,5.111092969450116e-09,0.00022443576052427587
19901,3.9459653861335537e-10,1.0062751128328612e-06
20901,7.280464305654699e-09,0.00032941501053863046
21901,5.5631166377753946e-09,0.0019392503349537167
22901,1.0288129908574796e-09,2.456787012162519e-05
23901,5.652973212450843e-10,1.6705007154956942e-05
24901,4.099074381290402e-10,5.083859758901115e-06
25901,6.535529730581372e-09,0.00014702121816557567
26901,6.772674166120555e-08,0.0037108302798331185
27901,6.769999815407202e-08,0.004706412355119238
28901,1.1999436325496168e-07,0.014970953805791679
29901,8.82289840067229e-09,0.000295659211458418
30901,8.822498984410967e-09,6.896991314627708e-05
31901,1.067107897709599e-09,0.00011502080902795623
32901,4.099074384477155e-10,3.0201864989614623e-06
33901,5.387780998286153e-09,0.00016303361726456052
34901,4.0279869277609967e-11,3.5511704298615704e-05
35901,2.854647273087518e-10,4.2275745009740865e-07
36901,5.638467779012739e-08,0.007334447731849811
37901,2.6266249922231594e-09,6.613253660861003e-05
38901,2.0894676403624776e-07,0.017129946193384243
