Height,Error (Validator),Error (Actor)
901,4.948995584101639e-24,3.577644355275212e-08
1901,3.7780596840053975e-24,3.3263290374946696e-09
2901,5.5297966423190945e-17,0.008989917118734692
3901,4.873451268839939e-24,1.883814913988898e-11
4901,1.8058680995663315e-24,9.604752541067121e-07
5901,9.874594236014617e-24,7.591208001155895e-07
6901,4.061519712262776e-24,1.3381678571712832e-07
7901,8.423029612288363e-20,0.00012255025010443027
8901,1.710938769707201e-24,2.129318560658255e-10
9901,3.112538665181995e-24,6.302587560351203e-07
10901,1.781395269107593e-24,5.919735622220383e-11
11901,2.9252335486367373e-24,1.195652484307922e-08
12901,1.2430101623990848e-21,6.0227363961056895e-05
13901,8.052988665836513e-24,1.5406060497340777e-08
14901,3.779202343486757e-24,3.926134507316315e-08
15901,9.690017958322838e-18,0.0045111643963363195
16901,7.895298594987799e-24,2.1056552727332167e-06
17901,1.2825170879676925e-22,4.3853566498081143e-07
18901,3.253463168364734e-20,9.439012658809943e-05
19901,1.754736285864358e-20,0.0007074611207299527
20901,4.913512861930733e-24,3.108287154285314e-08
21901,1.781169627042425e-24,1.3900040775931173e-11
22901,3.022592522626522e-20,3.083073275551023e-05
23901,3.458793859498875e-24,2.635533805758898e-07
24901,7.860620474355144e-23,1.7912096794299886e-07
25901,4.316043363043284e-24,2.698274795351316e-07
26901,4.5488267007583675e-24,3.3369363497227383e-07
27901,7.197940973001713e-23,1.0693727410953037e-07
28901,2.372809597303756e-23,4.906743319801671e-07
29901,4.453369368913939e-24,9.72050269938803e-07
30901,4.471561208970145e-24,7.49291268533623e-09
31901,1.2206301251182996e-21,2.3881744550894556e-06
32901,2.4086945970152485e-22,2.1565120882844246e-05
33901,7.05428343928714e-24,9.850985202264149e-08
34901,6.256665647372731e-19,0.0016702021775464476
35901,3.2272320915573846e-24,4.520996907314719e-08
36901,1.1261424886007684e-23,1.6450739894169388e-06
37901,4.622885284708238e-24,1.2888753040052773e-07
38901,1.857950968192199e-23,3.610862764464275e-07
