Height,Error (Validator),Error (Actor)
901,1.28800653229757e-16,0.013762892686312568
1901,3.727487182409011e-17,0.013078212301551135
2901,3.204435742613164e-16,0.04729677459341083
3901,4.335828798189334e-18,0.003994435100490459
4901,2.088471762730382e-14,0.10918109011447355
5901,6.91286174681683e-16,0.044200701361406976
6901,2.4799827468652226e-18,0.004327154068339803
7901,1.0258951661870135e-17,0.019995302225026646
8901,2.6905040096933663e-20,0.00378760006959497
9901,6.777976051845615e-15,0.0657681566613065
10901,1.5284919541827648e-12,0.27687927622940867
11901,1.5283759913361203e-17,0.005919006381299283
12901,1.822740068427933e-16,0.027351214192269272
13901,1.8464728625737903e-13,0.44070779117029113
14901,1.4412134275933876e-14,0.08281597806064635
15901,1.0006665981813615e-14,0.06969843291428182
16901,2.876879133366718e-11,0.4754083717523568
17901,6.411666977659222e-19,0.0009965348734139136
18901,1.5120225393562757e-17,0.00836587874177266
19901,6.779287591985437e-16,0.05054652969450694
20901,9.67540862872711e-19,0.0010306430917485995
21901,1.4998611501290138e-17,0.027919948582104583
22901,4.859810032129147e-15,0.061490644156628395
23901,1.555894302067795e-18,0.001460386502067936
24901,1.8888705945429624e-18,0.0038747761764440464
25901,8.964772771344619e-17,0.020538404156568005
26901,6.868178817976808e-15,0.07207257885214728
27901,2.3272446547720395e-17,0.007939724589827977
28901,5.794783572699895e-19,0.004860092583604909
29901,1.1895140493517303e-13,0.1345529610931064
30901,1.045235694278594e-12,0.24563315410879427
31901,1.4601739642099366e-15,0.0654202763740787
32901,3.769981920348896e-19,0.0012163963866653857
33901,7.798596449487316e-19,0.0021899707275598646
34901,3.926397863274737e-24,4.6527333864587106e-07
35901,9.693829553686381e-23,7.8010121486869e-05
36901,6.660103442054282e-16,0.039311443185701435
37901,2.0600786698397193e-12,0.2886737245461924
38901,9.7884026906236e-16,0.04659800751992525
