Height,Error (Validator),Error (Actor)
901,2.8844687753340857e-24,1.1683783985072464e-10
1901,2.3152746830178945e-19,0.001252660332433399
2901,3.0381336298303984e-20,0.001200541002338132
3901,3.0187211784769903e-14,0.11927662589941769
4901,3.9535042003187525e-21,6.554110753018747e-05
5901,6.115683934380345e-19,0.001034750627870339
6901,1.0366036104829007e-14,0.08008329779431426
7901,5.1481878976738313e-20,5.827474962261598e-05
8901,2.4708680087194816e-17,0.007102971023391821
9901,7.1565774998021765e-22,0.0001891872884792877
10901,1.3432885718827927e-20,0.00012449769550167006
11901,7.19664640774078e-23,5.614468155722953e-08
12901,9.655512775218184e-18,0.0037113519199163626
13901,1.2811698498319967e-22,1.5551732920906952e-07
14901,4.031226132338161e-22,3.822020689202803e-05
15901,6.009537341326814e-19,0.0010670688249579579
16901,3.748659900367323e-24,1.4100030520140125e-07
17901,2.045309887112912e-20,0.0001260952418460073
18901,3.326775967126855e-24,7.588347976382752e-05
19901,7.4037582712385e-23,2.0635277286316468e-07
20901,5.288496438747112e-20,0.0004808252813932282
21901,3.025639998303382e-20,0.0005507526135564339
22901,7.920133927454633e-24,5.223854713617701e-08
23901,1.820206364759988e-24,2.203187850281956e-09
24901,4.872247172914612e-24,6.433007857402821e-05
25901,4.893505192301244e-24,1.1079022334374903e-08
26901,7.000905267679863e-22,5.808548949812521e-07
27901,5.1228424451090344e-24,1.726671398137102e-08
28901,3.382711036948281e-24,3.1423175657318396e-07
29901,2.3361670490073714e-23,4.499061513111158e-07
30901,2.1620865897043952e-21,9.061588886808319e-06
31901,6.315644374265318e-24,5.1691129616357475e-06
32901,2.642801119244703e-23,1.1638089543477621e-06
33901,2.4345130521956706e-21,0.00014219950142232364
34901,1.0673591369909935e-20,1.9361231354566984e-05
35901,2.329210441753968e-24,2.6155556855028353e-08
36901,2.340699127469252e-22,1.554216822742114e-05
37901,6.376065755896944e-21,7.436333147614482e-05
38901,6.590930995249295e-16,0.027869616293922744
