Height,Error (Validator),Error (Actor)
901,3.921141653626071e-24,6.124635544490583e-06
1901,6.691220003969198e-24,1.1628618678871894e-05
2901,6.691219844851059e-24,1.772843908704526e-08
3901,2.424356072645179e-24,7.686069786238144e-06
4901,7.123571993727166e-24,0.00017152759424893667
5901,4.3941273423229816e-24,3.5357593955403323e-06
6901,6.691219844860278e-24,2.1418968051502298e-08
7901,5.167439052275714e-24,1.6823783240401713e-05
8901,2.6365756532589807e-24,1.893381113458052e-10
9901,6.691219844855223e-24,2.1393458839573194e-07
10901,7.123571994775374e-24,1.946715181879377e-05
11901,3.7328147578987536e-24,0.0008169439400819825
12901,4.394127340419059e-24,1.263553339197515e-05
13901,2.4477020965979276e-24,0.00328666098564282
14901,4.415062272069244e-24,0.002619204004457529
15901,2.4243560422639996e-24,5.200189773481674e-07
16901,6.106923831769285e-24,5.691560002657625e-06
17901,3.9211416296784884e-24,1.1612245911125325e-09
18901,3.1826036858768696e-24,1.4055102285440367e-05
19901,6.132235880085762e-24,6.9175672717853165e-06
20901,4.3941273398059154e-24,8.192804021449801e-07
21901,4.394127339845084e-24,5.438337026012743e-07
22901,2.3902588376706356e-24,0.00012538704963194682
23901,4.394486669956277e-24,0.00031585881159300366
24901,3.9211416347368044e-24,5.396741277508908e-07
25901,2.4243560435150106e-24,2.669004348140179e-07
26901,3.921141632555118e-24,1.3434443378444617e-07
27901,5.167439051911677e-24,2.585838513466503e-06
28901,6.132239458259065e-24,0.00016696788251126458
29901,2.6365756558308514e-24,3.471266996306901e-07
30901,3.921141705614519e-24,3.6098842200824018e-06
31901,3.578119624075832e-23,0.020971358968736385
32901,6.691219844850698e-24,2.4690600916480384e-10
33901,2.2370514919903666e-24,0.00012119599873764988
34901,5.169039656955619e-24,0.0007215688133249057
35901,3.921148157130343e-24,0.00016439814213214233
36901,2.4243560627825426e-24,1.6261014335126226e-06
37901,3.1826036121500605e-24,7.179133580577758e-07
38901,5.1674390322941386e-24,7.633241367064932e-08
