Height,Error (Validator),Error (Actor)
901,4.609844827960599e-19,0.16071452382702986
1901,6.691226620011272e-24,4.058905215457387e-05
2901,7.733427480763262e-19,0.20131916827922045
3901,6.107004143933253e-24,0.00017311839376315573
4901,2.162176675555149e-22,0.029685191695631677
5901,2.426466074203362e-24,0.0013583263034298082
6901,2.6365757291944714e-24,3.834668774541813e-05
7901,3.937597214834851e-24,0.0018628371815338047
8901,7.12361422319335e-24,0.0013525743421847456
9901,5.167440941470775e-24,2.253434927103879e-05
10901,6.69122447245118e-24,0.0002863682658789948
11901,2.3910986498832316e-24,0.0004029699848308281
12901,2.7598443522138488e-24,0.0004547904374299272
13901,2.7602278649774163e-24,0.0019237452491951436
14901,1.5787041026656799e-21,0.050776946752848454
15901,5.167439958308382e-24,6.856438969352094e-05
16901,6.756053911651753e-24,0.0011584780524225102
17901,8.944913619543894e-24,0.009345690073390728
18901,3.950103172761491e-24,0.002954628034836538
19901,2.2369712526360997e-24,2.8561556488467326e-06
20901,6.852842546143004e-23,0.02838008395229907
21901,2.1938195268014185e-23,0.015556776072070282
22901,3.921141629843407e-24,2.5061130691707576e-08
23901,6.1322370559775474e-24,6.329063377694462e-05
24901,4.39427565413822e-24,0.0002398467607960444
25901,2.3907004526279265e-24,0.00026800699804784223
26901,3.182751088362393e-24,0.00042670204800007456
27901,5.1674395604206226e-24,2.2472451441634418e-05
28901,6.692141904413803e-24,0.0008721624355219865
29901,4.423087066930004e-24,0.0018160613372883733
30901,5.167600438958773e-24,0.0007171830135805755
31901,1.741537996852203e-23,0.013742626470717821
32901,5.0127089748070166e-24,0.018283865044550582
33901,2.625985004109055e-23,0.023653883299935816
34901,6.1069243950791544e-24,2.4357677140198684e-05
35901,2.4543957071880606e-24,0.006230209592834875
36901,1.3441549603257775e-23,0.011319336577079564
37901,2.3918174507791095e-24,0.00075103481606651
38901,4.84272245472342e-24,0.006380953590815964
