Height,Error (Validator),Error (Actor)
901,1.9421598403659016e-09,1.4193985123592126e-05
1901,6.598527828877608e-09,0.0013504571656285836
2901,3.3908358546877332e-12,8.095573445391994e-08
3901,1.6295927428200845e-12,5.9368035401187945e-08
4901,1.4219825899157778e-09,4.614138036352617e-06
5901,2.1428347682370394e-08,0.0012653265623211681
6901,1.4082683746070134e-09,6.438638906855811e-05
7901,9.166321683696781e-10,7.987035136409069e-05
8901,3.651210279701851e-07,0.034128693105440276
9901,1.5989496143121805e-08,0.0006682042335959006
10901,5.456463840666387e-11,7.496069991658603e-06
11901,6.340965905824546e-07,0.11175992374851489
12901,2.919768658094393e-10,5.786588398000958e-06
13901,8.837353921449187e-09,5.7378855466824297e-05
14901,3.8857814564875086e-08,0.023923860807316778
15901,2.0584746998304039e-10,2.779969686820624e-07
16901,6.910198809991693e-09,0.0009121977513564328
17901,4.685049047730309e-09,8.39347766975691e-05
18901,1.0647770143798569e-10,5.592604749664653e-06
19901,2.1393293190833498e-08,0.000335037955774579
20901,9.815233081027005e-09,0.00044530850309265526
21901,7.270276564014371e-10,0.00013186149982887362
22901,2.138470471290164e-08,0.001084041017923261
23901,1.5067679960875422e-10,3.094069924875077e-05
24901,2.957380765159713e-08,0.006765974196647058
25901,6.537354838803396e-09,0.0006786401535486836
26901,9.846114059911914e-12,2.7460726808168124e-06
27901,1.4980289383695054e-10,0.0002942454550970356
28901,2.86724247646324e-08,0.008621587289090933
29901,3.6010103147893e-09,0.0018065611829879828
30901,3.7683193813321144e-11,2.6433691023132042e-05
31901,1.9944593979480358e-09,5.537687302143534e-05
32901,4.231337017943926e-08,0.0037771646642860697
33901,8.428459859108094e-07,0.0801276694972904
34901,6.120230972765134e-10,2.064512446621712e-05
35901,6.537328746898744e-09,0.0001285956174859711
36901,2.647348806277237e-09,0.0004855940162520294
37901,1.9965878599835713e-11,4.814619010417888e-08
38901,1.661751027115639e-07,0.03128821792194707
