Height,Error (Validator),Error (Actor)
901,9.29952343474561e-12,0.001966186816915312
1901,9.09750792341612e-07,0.583685621484695
2901,7.3743979436429795e-09,0.15880269898674285
3901,3.0122636380229124e-09,0.0899151547583931
4901,5.174932372350053e-11,0.0067824050038914506
5901,5.545747626000345e-08,0.363210345985966
6901,7.741564761492816e-08,0.5120076985633112
7901,6.314094216420442e-06,0.6992671340824963
8901,1.3280774620177997e-10,0.008497587806577797
9901,2.3066240153706446e-09,0.08118601219255726
10901,7.425457553571969e-09,0.18112712049359012
11901,4.758414429166514e-10,0.06696359065579285
12901,2.579776773006865e-11,0.0008169711348463597
13901,1.4660613171778828e-08,0.17926803931944893
14901,2.7661706546591087e-13,2.3616606128465957e-05
15901,3.0133299681434548e-09,0.09430395542969482
16901,4.1746031238072416e-08,0.3104742010909944
17901,6.683186524673566e-09,0.22045676952052481
18901,9.890944584275331e-09,0.16132954592952015
19901,2.6415644694745255e-11,0.0046351363693634745
20901,1.2542559522216586e-09,0.05726146930035344
21901,5.5545399005072295e-08,0.34831917704684
22901,4.210597758552982e-09,0.1800123960308361
23901,7.188467334293707e-11,0.0067380767023636125
24901,2.6729306501725345e-13,0.00695842930819499
25901,1.0208573834767062e-08,0.1964113775801136
26901,7.369417551261833e-08,0.3320495240337839
27901,2.5249375962493457e-10,0.012112601788543415
28901,8.901012641065696e-10,0.03680937860289643
29901,9.920650821042102e-12,0.045055902151846815
30901,9.846612893769854e-08,0.3749663349790371
31901,2.2279147437382348e-09,0.07617214847128449
32901,1.1995201937325298e-06,0.6229441256243561
33901,3.1852075580935467e-09,0.10568455050327125
34901,6.52230214204717e-10,0.029343379643371886
35901,6.280652615593369e-09,0.1835391163502483
36901,5.7836878533145934e-09,0.24521658423257484
37901,2.4511062674275596e-10,0.021894434241363312
38901,5.487308611093743e-09,0.11914636866898869
