Height,Error (Validator),Error (Actor)
901,1.5925143081342043e-07,0.020573004348142413
1901,9.008695869714338e-08,0.00879509981682704
2901,1.9284117045622534e-06,0.16822301415718502
3901,2.5208181513294547e-06,0.1618492589980646
4901,8.99125123608912e-08,0.005462461195434118
5901,6.548351533941505e-09,0.0036814180145728543
6901,9.049036072071607e-08,0.005634889918191243
7901,1.463552767511548e-06,0.13552546220664327
8901,1.4394348601633508e-09,0.0007179877398603818
9901,6.769990047054287e-08,0.005189282127436414
10901,3.713502463815089e-07,0.03673203195428746
11901,1.5931218895464789e-07,0.024551219668593298
12901,1.913011469580165e-06,0.15582022816972677
13901,2.0927165760767432e-07,0.04607058800044372
14901,4.861932904432406e-09,0.006459733986859895
15901,6.143913107571626e-07,0.07429462778454785
16901,9.07232177289356e-08,0.01353336400963188
17901,8.839760344357861e-09,0.00024007478415117854
18901,6.909875938739497e-09,0.00022948699575405074
19901,2.1386098614103825e-08,0.0005743003484991612
20901,4.453620228273957e-10,0.000613638161536192
21901,6.342968954839475e-07,0.05861207975161073
22901,9.177313109653706e-09,0.007677998166003681
23901,5.2618184179039525e-08,0.01846302577007689
24901,9.072530997353398e-08,0.018695262429567705
25901,1.028814622725477e-09,2.793315546475028e-05
26901,6.548478589887435e-09,0.0010586094152821215
27901,3.6512102814197474e-07,0.0368473027076587
28901,3.172876524794083e-05,0.45436547567965185
29901,9.008706667808572e-08,0.008939485888476928
30901,3.6521076649942084e-07,0.05829799034549532
31901,1.5925154541861262e-07,0.07514569285444958
32901,6.550367499599102e-09,0.000355425369502341
33901,6.543468574263775e-07,0.11659703626712593
34901,2.340706986334466e-05,0.4766279611538592
35901,2.8628637991561604e-07,0.09017209562260987
36901,4.026150237669856e-08,0.011120546927173436
37901,6.766010566707343e-09,0.00044132804389537296
38901,8.412536683911109e-10,8.711222115356652e-05
