Height,Error (Validator),Error (Actor)
901,2.424356041675737e-24,3.0545953056672576e-06
1901,2.3902107114934716e-24,7.066639994686552e-06
2901,5.16743903372761e-24,2.6338919710269578e-06
3901,5.1674390322958724e-24,6.451317159637212e-08
4901,3.921141629678451e-24,8.613040406233849e-10
5901,6.691219844850673e-24,2.0358794926682383e-07
6901,3.921141629678451e-24,4.6951878320432536e-11
7901,4.720984542008467e-24,6.221081380029288e-06
8901,4.394145403728231e-24,0.0004857139187678842
9901,2.4243560410898192e-24,4.893593522859689e-08
10901,6.132235842108554e-24,3.6974156054527205e-09
11901,6.132235842729238e-24,2.848561486424999e-07
12901,2.4243560409433133e-24,1.8459063987425775e-11
13901,3.921147815310091e-24,6.221190522225156e-05
14901,2.2369711788946414e-24,1.499521804233017e-11
15901,2.236971178929998e-24,1.609612915472337e-08
16901,2.636575653258963e-24,9.051305790993329e-08
17901,2.6365756532589635e-24,6.773140110602225e-08
18901,6.132235842108554e-24,3.1957584262362805e-08
19901,3.9211416706479034e-24,1.7355402956400855e-06
20901,5.169854757152985e-24,0.001126122250955095
21901,3.921141629679708e-24,1.6954124913013894e-07
22901,5.2564888937329776e-24,0.017647095207794606
23901,4.0891823588976564e-24,8.841274656369387e-06
24901,2.3902106710344327e-24,8.91719313821925e-07
25901,4.720984542008499e-24,6.290358000575516e-07
26901,3.921157947639775e-24,0.00017662242638797745
27901,2.2369712239864573e-24,3.7878448026604397e-06
28901,6.132235842108554e-24,1.7665890583455536e-08
29901,5.167439032512047e-24,3.8957362113900707e-07
30901,2.4243566538078532e-24,1.2207865614710354e-05
31901,2.3902108573113748e-24,2.0202985815167177e-05
32901,4.394127339765849e-24,1.8157514432847856e-06
33901,2.4243560409433133e-24,1.0668365277797157e-07
34901,6.691219845466853e-24,7.725433212112386e-07
35901,2.2374910721606017e-24,0.0005938274127302595
36901,3.9211416296786155e-24,4.902668992771141e-07
37901,2.6365756532609456e-24,1.1837246096599368e-07
38901,5.167439383909584e-24,3.361681905340595e-05
