Height,Error Probability
2685378,5.8509455068589e-09
2685379,2.5628060969503528e-09
2685380,1.069835617862532e-09
2685381,4.46759533020837e-09
2685382,3.297199043507435e-09
2685383,2.424147918030574e-09
2685384,1.7908407641440622e-09
2685385,2.4241497823513105e-09
2685386,3.3214429691662973e-09
2685387,3.3214464306938746e-09
2685388,1.3095535910317427e-09
2685389,2.4241497837834948e-09
2685390,6.0530220463329744e-09
2685391,1.4890253018939097e-08
2685392,1.9793085654549214e-08
2685393,4.711243420947433e-08
2685394,1.9793075944117645e-08
2685395,8.326507683701714e-08
2685396,3.653398914315243e-08
2685397,1.4635313856862453e-07
2685398,1.9390252063703505e-07
2685399,2.558805040901566e-07
2685400,7.76534735561924e-07
2685401,6.48456735290828e-07
2685402,1.3487069002312956e-06
2685403,1.0219000698929352e-06
2685404,4.4659675474097613e-07
2685405,5.928511899773771e-07
2685406,1.997888204129075e-07
2685407,4.4967939627084394e-07
2685408,2.557996177522491e-07
2685409,3.4863347063812133e-07
2685410,1.6168669721216518e-07
2685411,4.737536531486017e-08
2685412,4.842096457912625e-08
2685413,1.4666877099002528e-07
2685414,5.87885216008583e-07
2685415,2.136736710484584e-07
2685416,1.1064537187381992e-07
2685417,7.897101550192582e-09
2685418,2.562806097350233e-09
2685419,3.3045145267082777e-09
2685420,6.666514432286332e-10
2685421,2.1536156587733532e-10
2685422,1.01374206720167e-10
2685423,2.5850579348740694e-10
2685424,6.870573102114035e-10
2685425,9.732253157879549e-11
2685426,2.582796469102994e-10
2685427,6.402474522786569e-11
2685428,1.317443683024558e-10
2685429,7.502576708070405e-11
2685430,9.415044801797608e-11
2685431,1.8495730641828942e-10
2685432,2.609595879065366e-10
2685433,1.2802539191773983e-10
2685435,1.4068811269934732e-10
2685436,1.3194963336784552e-10
2685437,3.5919176041905167e-10
2685438,9.45364539772277e-10
2685439,6.871042205671222e-10
2685440,3.6291831988711015e-10
2685441,6.871044965013616e-10
2685442,6.873635195372193e-10
2685443,4.988181577305322e-10
2685444,2.609595878891282e-10
2685445,1.8531716492283894e-10
2685446,4.976599631211531e-10
2685447,1.868485569912395e-10
2685448,2.583596656397705e-10
2685449,1.8495640290087592e-10
2685450,5.027566290044003e-10
2685451,2.609599146460102e-10
2685452,2.60959914901748e-10
2685453,2.6859451215438103e-10
2685454,1.3322889752927942e-10
2685455,2.314835663355724e-11
2685456,1.0272424904208079e-11
2685457,6.915202797421781e-12
2685458,4.608052188414311e-11
2685459,1.3172316581533326e-10
2685460,6.583497132034849e-11
2685461,1.3204798325478295e-10
2685462,3.5935618716387657e-10
2685463,3.5935618712851806e-10
2685464,1.7743307505616571e-09
2685465,2.4198991408369544e-09
2685466,6.042738296125552e-09
2685467,1.9786413789643532e-08
2685468,3.5419276160715234e-08
2685469,1.1043821567380404e-07
2685470,1.415746960132754e-07
2685471,1.4721011307064683e-07
2685472,3.406415936926196e-07
2685473,8.599457745296651e-08
2685474,8.330442803845821e-08
2685475,1.1043174691593219e-07
2685476,5.878902227891455e-07
2685477,1.3466596835339568e-06
2685478,2.640287478293012e-07
2685479,1.9395065762050168e-07
2685480,7.750524953727928e-07
2685481,4.6003536256286567e-07
2685482,3.4882237468591405e-07
2685483,2.559205760486153e-07
2685484,8.058101522969446e-08
2685485,6.390854615929131e-08
2685486,6.256753244446903e-09
2685487,6.258334746946186e-09
2685488,8.445640352987095e-09
2685489,2.5091286466982283e-09
2685491,4.835940428385334e-10
2685492,1.8938288160377945e-10
2685493,3.12581208805948e-11
2685494,1.3181304105793555e-10
2685495,6.583497284955472e-11
2685496,4.977000495914479e-10
2685497,4.0503349274571777e-10
2685498,5.292894107321826e-10
2685499,2.4189394060599576e-09
2685500,4.465374610468816e-09
2685501,3.409217937533311e-09
2685502,6.054692446857238e-09
2685503,1.7908409481612485e-09
2685504,4.977002532258543e-10
2685505,2.4198991408369676e-09
2685506,2.42414791396128e-09
2685507,1.098166101721544e-08
2685508,8.440232283171078e-09
2685509,3.6773827414569825e-09
2685510,8.15882365835456e-09
2685511,1.9786413869622497e-08
2685512,6.268509525316926e-08
2685513,2.5579900428210823e-07
2685514,2.6402874782930065e-07
2685515,1.3461855405221467e-06
2685516,3.269722001180747e-07
2685517,2.183388239745567e-07
2685518,2.2298585332940392e-07
2685519,1.9978024677497276e-07
2685520,1.9562653055053404e-07
2685521,1.114009191657184e-07
2685522,1.1403929896368618e-07
2685523,2.557896906316873e-07
2685524,7.750440502228579e-07
2685525,1.0687939825010587e-07
2685526,1.1256711428757029e-07
2685527,1.1048561874880402e-07
2685528,1.9517831115289632e-07
2685529,3.384271957135763e-07
2685530,1.4752885057877614e-07
2685531,1.4752898037339865e-07
2685532,1.9978882057530025e-07
2685533,2.8251732084354014e-07
2685534,1.5395511823911537e-07
2685535,5.251946211124257e-08
2685536,1.4639698049822694e-07
