Height,Error Probability
2713609,1.7969712522942088e-13
2713610,7.284058000866553e-14
2713611,3.382962063136952e-14
2713612,4.4729021498862095e-14
2713613,2.770469574505755e-14
2713614,2.948693288786613e-14
2713615,1.8101227385782398e-14
2713616,3.637751932084259e-15
2713617,7.652281724217017e-15
2713618,2.436616513414778e-15
2713619,1.0248463825849848e-14
2713620,1.6874562506316716e-14
2713621,7.165057646612421e-14
2713622,1.7909024114357122e-13
2713623,2.0816127062321116e-14
2713624,1.76154944583558e-14
2713625,2.7897602694114154e-13
2713626,1.137835647175996e-13
2713627,4.3073918321897165e-13
2713628,4.552488903297896e-13
2713629,3.390852274510331e-14
2713630,4.486107750854531e-14
2713631,1.7898625948696954e-13
2713632,4.552488903312076e-13
2713633,6.617746030587596e-13
2713634,1.0036702568464142e-12
2713635,1.0145273171902665e-12
2713636,3.328605396603171e-12
2713637,3.338355791159906e-12
2713638,4.371288302446249e-13
2713639,8.679444506223641e-14
2713640,4.3220196115218294e-13
2713641,2.831764342422974e-13
2713642,1.5064987837432795e-12
2713643,7.146580998758974e-12
2713644,3.493040006047796e-12
2713645,1.5272072339443213e-12
2713646,1.491705472811428e-11
2713647,1.0104096404135698e-11
2713648,5.035367377966085e-12
2713649,3.4952665615347335e-12
2713650,3.041343123208284e-11
2713651,4.9550851418253356e-12
2713652,7.230564671739005e-12
2713653,2.1360415691127197e-11
2713654,2.160453062358459e-11
2713655,2.080299516561691e-11
2713656,8.511085895142559e-11
2713657,2.2951385806878367e-10
2713658,1.7179452237376174e-10
2713659,8.16241696902709e-10
2713660,5.980981666713389e-10
2713661,1.2008320510597465e-10
2713662,2.959551821053458e-11
2713663,7.697765615775547e-12
2713664,2.290173834924491e-12
2713665,2.2777318062517407e-12
2713666,1.0011320089593056e-12
2713667,2.254121712701855e-12
2713668,3.0407766542613794e-11
2713669,4.308213276183396e-11
2713670,3.464334559597635e-11
2713671,4.342034561069285e-11
2713672,2.4396614845389354e-11
2713673,5.919573538830602e-12
2713674,1.0515463649460303e-11
2713675,3.330855688405153e-12
2713676,1.5841093183812257e-12
2713677,4.558105707005467e-13
2713678,2.791877573359609e-13
2713679,1.8178426802376327e-13
2713680,1.710227034389684e-14
2713681,1.7900924058033293e-13
2713682,2.9486932855421656e-14
2713683,2.811561101018313e-14
2713684,7.284228658826975e-14
2713685,2.081629766664886e-14
2713686,2.876507083441101e-14
2713687,1.2706274354907255e-14
2713688,2.8767531058963216e-14
2713689,6.594358618635779e-15
2713690,1.2420039331298145e-15
2713691,4.468012683679377e-14
2713692,2.7616028187523715e-14
2713693,2.78943794362163e-13
2713694,1.00060618661636e-12
2713695,6.688208373652259e-13
2713696,4.893436871424435e-12
2713697,4.552488903297896e-13
2713698,1.3732849945113835e-13
2713699,4.5282102783527635e-14
2713700,1.806993494149079e-14
2713701,1.7203398193115e-14
2713702,2.177911097418698e-15
2713703,3.63616640568817e-15
2713704,1.343151380627082e-15
2713705,3.6329787938552346e-15
2713706,3.649319515932159e-15
2713707,2.761602819794317e-14
2713708,2.78943794362163e-13
2713709,1.7960060305142213e-13
2713710,1.7898619568102507e-13
2713711,7.625427648953439e-14
2713712,1.137986971147756e-13
2713713,2.8317635598560107e-13
2713714,1.3705901851408226e-13
2713715,2.821881838950248e-13
2713716,4.765098696412568e-14
2713717,2.811562249446126e-14
2713718,4.5712865022810205e-15
2713719,1.0261201252171253e-14
2713720,4.468012813180364e-14
2713721,2.081612706232022e-14
2713722,1.7914266449328087e-13
2713723,8.679392899023354e-14
2713724,1.7615494458365848e-14
2713725,3.651382260591964e-15
2713726,1.0962921733993813e-14
2713727,1.0216304771866166e-14
2713728,3.649319515932342e-15
2713729,1.6876602508117075e-14
2713730,1.025960116532688e-14
2713731,2.8085269073224612e-14
2713732,7.16426534304278e-14
2713733,1.6943835971843988e-14
2713734,7.191152808294666e-14
2713735,2.7894379440901106e-13
2713736,1.1418583884940513e-13
2713737,1.2683669351560346e-14
2713738,8.280386608475181e-15
2713739,3.66958016906749e-15
2713740,6.12413246058393e-15
2713741,1.025960116719781e-14
2713742,2.135531281429282e-15
2713743,2.988453834051164e-16
2713744,7.495204041890683e-17
2713745,1.2390709311010866e-17
2713746,7.059187272409618e-17
2713747,1.284750252827262e-16
2713748,2.2929542596950984e-16
2713749,2.1410347953065422e-17
2713750,7.063842104073441e-17
2713751,2.1410347954634824e-17
