Height,Error Probability
3356325.0,7.231204223613618e-17
3356326.0,3.8564695328642544e-17
3356327.0,1.2781187451719744e-16
3356328.0,7.73957935829412e-17
3356329.0,3.632920736954211e-15
3356330.0,4.468095165520593e-14
3356331.0,1.1418583884940513e-13
3356332.0,1.000497058985231e-12
3356333.0,4.896143050592831e-12
3356334.0,7.146580998744746e-12
3356335.0,2.254121704877764e-12
3356336.0,7.142720496747449e-12
3356337.0,1.5092531985285634e-11
3356338.0,1.4918417763439644e-11
3356339.0,2.1414304472090148e-11
3356340.0,1.0479889004661813e-11
3356341.0,8.231719934685054e-12
3356342.0,1.0449597435267507e-11
3356343.0,1.0480018006650126e-11
3356344.0,1.5261154933616223e-12
3356345.0,5.108556196412638e-13
3356346.0,4.894347160018426e-12
3356347.0,7.146580998762824e-12
3356348.0,4.907351775045515e-12
3356349.0,2.6184861317579928e-12
3356350.0,2.249244552205926e-12
3356351.0,7.230552678336141e-12
3356352.0,5.6587918315268406e-12
3356353.0,5.035367392200744e-12
3356354.0,6.616808066761344e-13
3356355.0,1.0541901671071029e-12
3356356.0,7.1426234540924014e-12
3356357.0,1.4956842451358086e-11
3356358.0,7.230552671900438e-12
3356359.0,3.371665010024988e-12
3356360.0,6.957387688786505e-13
3356361.0,4.558105726003837e-13
3356362.0,1.7204986230436393e-14
3356363.0,7.652904976140752e-15
3356364.0,1.2612714739630327e-15
3356365.0,2.133637375663726e-15
3356366.0,1.2461985599974858e-15
3356367.0,5.261981406284421e-16
3356368.0,1.02284778495165e-14
3356369.0,2.8085269145164953e-14
3356370.0,7.169482430790407e-14
3356371.0,2.305085859887675e-15
3356372.0,3.710909994237191e-15
3356373.0,7.293620145157704e-16
3356374.0,3.632932897235163e-15
3356375.0,2.1434937731013054e-15
3356376.0,2.9884538473453914e-16
3356377.0,4.1374573357451163e-16
3356378.0,4.06799407416089e-16
3356379.0,1.3086595915154966e-16
3356380.0,2.133919830890052e-15
3356381.0,1.2887518210436517e-15
3356382.0,9.936479466476769e-16
3356383.0,2.4947075839383118e-16
3356384.0,3.6330000312697265e-15
