Height,Error Probability
2685279,4.3217726896483287e-13
2685280,3.3829383256991897e-14
2685281,4.153675544443965e-15
2685282,2.368255131636634e-16
2685283,7.297861840006319e-16
2685284,7.29357870901236e-16
2685285,1.241434335579002e-15
2685286,3.636158579913867e-15
2685287,1.6874227365771702e-14
2685288,1.1418583884940513e-13
2685289,1.817842614018065e-13
2685290,4.485384006772622e-14
2685291,1.8068993488582823e-14
2685292,4.307313161254696e-13
2685293,1.8178426130400326e-13
2685294,2.7891547871620826e-13
2685295,8.679392857493995e-14
2685296,1.7914266449328087e-13
2685297,2.7910134792638297e-13
2685298,2.1443252106293537e-13
2685299,1.0013811939081407e-12
2685300,4.2616368464059367e-13
2685301,1.1812560681427916e-13
2685302,7.194175157578555e-14
2685303,1.0400536271859954e-14
2685304,4.901159279141134e-15
2685305,2.1558912336332265e-15
2685306,3.649411676565266e-15
2685307,1.2667748678785935e-15
2685308,3.649331208842588e-15
2685309,1.6887960188780226e-14
2685310,1.1377128191122825e-13
2685311,6.597349907518605e-13
2685312,2.247362027722126e-12
2685313,1.7614047124254092e-12
2685314,2.3163138071238156e-12
2685315,6.616808066731199e-13
2685316,6.688214763637789e-13
2685317,4.3101886667937585e-13
2685318,6.507150977801072e-13
2685319,8.122916273906228e-13
2685320,4.896514176574565e-12
2685321,7.162555120960391e-12
2685322,6.688208376525126e-13
2685323,3.3305420839879705e-12
2685324,2.1360405365802773e-11
2685325,2.1414304472090093e-11
2685326,4.316894209547801e-11
2685327,8.530338357779496e-11
2685328,6.318910583643087e-11
2685329,1.0839872910575634e-11
2685330,4.958477690390038e-12
2685331,7.143345796530799e-12
2685332,1.0360943295048817e-11
2685333,7.146580998744768e-12
2685334,7.2305526699510895e-12
2685335,4.893852742451022e-12
2685336,4.95508513134292e-12
2685337,7.1465867020435584e-12
2685338,5.128947235022207e-12
2685339,5.133825860971679e-12
2685340,1.0486596728493308e-11
2685341,5.658935769538172e-12
2685342,1.0363158450695479e-11
2685343,1.5585933800754298e-11
2685344,2.363830057785816e-12
2685345,7.1429947180528e-12
2685346,3.371658854277828e-12
2685347,7.143315906036165e-12
2685348,1.010409640413579e-11
2685349,4.851270790778781e-12
2685350,5.9603061089660266e-12
2685351,1.5897189210905645e-12
2685352,1.035563612122429e-11
2685353,3.863296232385054e-12
2685354,1.850930585413335e-12
2685355,1.5323817111945016e-12
2685356,1.05457329238736e-12
2685357,6.965732795040214e-13
2685358,6.693806858744475e-13
2685359,2.2474065012190982e-12
2685360,3.3305392015476315e-12
2685361,7.146580998744809e-12
2685362,4.907351775045515e-12
2685363,3.3289406829387554e-12
2685364,1.5261121923399653e-12
