Height,Error Probability
2707560,1.025960116532688e-14
2707561,1.6876602508117075e-14
2707562,7.164261595251858e-14
2707563,1.5055984180088054e-12
2707564,1.5064973573324325e-12
2707565,6.957365450434906e-13
2707566,3.339736245093238e-12
2707567,3.3716594784937624e-12
2707568,2.1369582965619923e-11
2707569,2.1369567615184728e-11
2707570,3.0407711409594635e-11
2707571,2.2898083869619933e-10
2707572,2.3132641433608294e-10
2707573,2.577893817011503e-10
2707574,1.780922911988654e-11
2707575,1.5491267012334576e-11
2707576,3.503225602073754e-12
2707577,7.166853620241657e-12
2707578,2.2772224946109443e-12
2707579,2.2474001422518174e-12
2707580,1.0355471366659558e-11
2707581,1.0360943294710137e-11
2707582,7.2305526699510895e-12
2707583,2.6184950582764652e-12
2707584,1.811359311854732e-13
2707585,1.1561932233570235e-13
2707586,4.764947515066455e-14
2707587,1.1572474463255925e-13
2707588,8.679784453469265e-14
2707589,2.797625593141526e-14
2707590,1.1561932276462293e-13
2707591,1.1385181485494128e-13
2707592,1.7960060306871843e-13
2707593,1.7806514473407754e-13
2707594,1.0112114593538324e-12
2707595,1.0036813113816556e-12
2707596,6.507151366208949e-13
2707597,1.9734376706015876e-13
2707598,1.7551817159505904e-14
2707599,7.271443185020458e-14
2707600,1.0005064246615663e-12
2707601,1.8979096096131016e-13
2707602,1.7203381269384e-14
2707603,1.5826702422372581e-15
2707604,1.0216305358753684e-14
2707605,1.040948802237719e-14
2707606,1.6876619580379927e-14
2707607,2.9486932854783076e-14
2707608,2.7602045903089865e-14
2707609,1.1377128191145945e-13
2707610,1.8178426130400326e-13
2707611,1.1385180364100568e-13
2707612,1.1418583885010503e-13
2707613,1.1418583889693373e-13
2707614,6.593073874849161e-13
2707615,6.614590654607473e-13
2707616,1.5102228979365292e-12
2707617,1.3705826513256577e-13
2707618,7.953304031033081e-14
2707619,1.7911039483296123e-13
2707620,1.710211268650115e-14
2707621,2.7976244449267587e-14
2707622,7.284228658827435e-14
2707623,8.679448053145836e-14
2707624,4.899967668171616e-14
2707625,1.7975090810646422e-14
2707626,1.8166645218763216e-14
2707627,2.763219456129244e-14
2707628,2.759800587695904e-14
2707629,1.2683669330610654e-14
2707630,1.4230087525570574e-15
2707631,1.0226359315891412e-14
2707632,7.164132997863222e-14
2707633,1.1378356468653695e-13
2707634,2.7910134764141037e-13
2707635,4.3712883004853006e-13
2707636,4.3101886573709854e-13
2707637,1.3705826499501362e-13
2707638,4.3113598213785093e-13
